English,Japanese,Kanji
black,くろい,黒い
red,あかい,赤い
yellow,きいろい,黄色い
white,しろい,白い
blue,あおい,青い
brown,ちゃいろい,茶色い
green,みどり,緑
green (katakana),グリーン,
navy blue,こんいろ,紺色
light blue,みずいろ,水色
silver,ぎんいろ,銀色
silver (katakana),シルバー,
orange,オレンジ,
purple,むらさき,紫
gray,はいいろ,灰色
gray (katakana),グレー,
gold,きんいろ,金色
gold (katakana),ゴールド,
pink,ピンク,
beige,ベージュ,
traffic light,しんごう,信号
ordinal number suffix,め,目
corner,かど,角
to turn,まがる,曲がる
street,みち,道
"side (of something or taking someone's side); part",がわ,側
Turn left,ひだりにまがる,左に曲がる
Turn Right,みぎにまがる,右に曲がる
Cross the street,まっすぐいく,まっすぐ行く
Turn left at the second corner,ふたつのめかどをひだりにまがる,二つ目の角を左に曲がる
Turn right at the first traffic light,ひとつめのしんごうをみぎにまがる,一つ目の信号を右に曲がる
Left side of the street,みちのひだりがわ,道の左側
Right side of the street,みちのみぎがわ,道の右側
North,きた,北
East,ひがし,東
South,みなみ,南
West,にし,西
game,ゲーム,
part-time job,アルバイト,
shopping,かいもの,買い物
class,クラス,
dog,いぬ,犬
cat,ねこ,猫
person,ひと,人
child,こども,子供
you,あなた,
chair,いす,椅子
desk,つくえ,机
picture; photograph,しゃしん,写真
flower,はな,花
(term) paper,レポート,
rice;meal,ごはん,ご飯
bread,パン,
temple,おてら,お寺
park,こうえん,公園
supermarket,スーパー,
bus stop,バスてい,バス停
hospital,びょういん,病院
hotel,ホテル,
bookstore,ほにゃ,本屋
town; city,まち,町
restaurant,レストラン,
yesterday,きのう,昨日
...hours,～じかん,～時間
one hour,いちじかん,一時間
last week,せんしゅう,先週
when...; at the time of... (～の),とき,時
Monday,げつようび,月曜日
Tuesday,かようび,火曜日
Wednesday,すいようび,水曜日
Thursday,もくようび,木曜日
Friday,きにょうび,金曜日
Saturday,どようび,土曜日
Sunday,にちようび,日曜日
to meet; to see (a person に),あう,会う
there is... (place に thing が),ある,
to buy (～を),かう,買う
to write (person に thing を),かく,書く
to take (a picture) (～を),とる,撮る
to wait (～を),まつ,待つ
to understand (～が),わかる,分かる
(a person) is in...; stays at... (place に person が),いる,
about (approximate measurement),～ぐらい,
I'm sorry,ごめんなさい,
and then,それから,
so; therefore,だから,
many; a lot,たくさん,
together with (a person); and,～と,
why,どうして,
alone,ひとりで,一人で
Hello? (used on the phone),もしもし,
right (～の),みぎ,右
left  (～の),ひだり,左
front (～の),まえ,前
back (～の),うしろ,後ろ
inside (～の),なか,中
on (～の),うえ,上
under (～の),した,下
near; nearby (～の),ちかく,近く
next (～の),となり,隣
between (A と B の),あいだ,間
food,たべもの,食べ物
drink,のみもの,飲み物
fruit,くだもの,果物
holiday; day off; absence,やすみ,休み
travel,りょこう,旅行
sea,うみ,海
surfing,サーフィン,
souvenir,おみやげ,お土産
bus,バス,
weather,てんき,天気
homework,しゅくだい,宿題
test,テスト,
birthday,たんじょうび,誕生日
room,へや,部屋
I (used by men),ぼく,僕
size L,L（エル）サイズ,
new,あたらしい,新しい
old (thing - not used for people),ふるい,古い
hot (weather - not used for things),あつい,暑い
cold (weather - not used for things),さむい,寒い
hot (thing),あつい,熱い
busy (people/days),いそがしい,忙しい
large,おおきい,大きい
small,ちいさい,小さい
interesting; funny,おもしろい,面白い
boring,つまらない,
easy (problem); kind (person),やさしい,
difficult,むずかしい,難しい
good-looking (conjugates like いい),かっこいい,
frightening,こわい,怖い
fun,たのしい,楽しい
inexpensive; cheap (thing),やすい,安い
fond of; to like (~が),すき（な）,好き
disgusted with; to dislike (~が),きらい（な）,嫌い
very fond of; to love (~が),だいすき（な）,大好き
to hate (~が),だいきらい（な）,大嫌い
beautiful; clean,きれい（な）,
healthy; energetic,げんき（な）,元気
quiet,しずか（な）,静か
lively,にぎやか（な）,
not busy; free (time),ひま（な）,暇
to swim,およぐ,泳ぐ
to ask (person に),きく,聞く
to ride; to board (～に),のる,乗る
to do; to perform (～を),やる,
to go out,でかける,出かける
together,いっしょに,一緒に
extremely,すごい,
It's okay; Not to worry; Everything is under control,だいじょうぶ,大丈夫
very,とても,
what kind of ...,どんな,
[counter for flat objects],～まい,～枚
Kanji; Chinese character,かんじ,漢字
